XIIth Board,XIIth score,Entrance given,JEE Score,GUJCET Score,College/University,Field,XII60,GUJCET 40%,JEE 40%,Final_G,Final_J
GSEB,89.0,"JEE, GUJCET",44.0,66.0,Indus University,Computer science and engineering,53.4,26.4,17.6,79.8,71.0
GSEB,71.0,"JEE, GUJCET",67.0,67.0,Indus University,Computer science and engineering,42.6,26.8,26.8,69.4,69.4
CBSE,78.0,"JEE, GUJCET",46.0,45.0,Indus University,Computer engineering,46.8,18.0,18.4,64.8,65.2
CBSE,70.0,JEE,55.0,,Indus University,Computer engineering,42.0,,22.0,,64.0
GSEB,78.0,"JEE, GUJCET",54.0,45.67,Indus University,Information technology,46.8,18.268,21.6,65.068,68.4
CBSE,432.0,JEE,87.0,156.0,Indus University,Automobile engineering,259.2,62.40000000000001,34.8,321.6,294.0
CBSE,75.0,"JEE, GUJCET",30.0,33.0,Indus University,Computer science and engineering,45.0,13.2,12.0,58.2,57.0
CBSE,70.0,JEE,55.0,,Indus University,Computer engineering,42.0,,22.0,,64.0
CBSE,70.0,"JEE, GUJCET",,41.25,Indus University,Information technology,42.0,16.5,,58.5,
GSEB,74.0,JEE,80.0,,Gandhinagar Institute of Technology,Mechanical engineering,44.4,,32.0,,76.4
GSEB,78.0,JEE,57.0,,Hasmukh Goswami College of Engineering,Computer engineering,46.8,,22.8,,69.6
GSEB,63.54,"JEE, GUJCET",70.0,34.0,Indus University,Information technology,38.124,13.6,28.0,51.724,66.124
Diploma,77.0,Diploma,,,Amiraj college of engineering and technology ,Electrical engineering,46.2,,,,
GSEB,66.0,GUJCET,,109.0,Indus University,Metallurgy engineering,39.6,43.6,,83.2,
GSEB,63.0,GUJCET,,38.5,Vnsgu,Biotechnology ,37.8,15.4,,53.2,
GSEB,60.0,"JEE, GUJCET",27.0,44.5,Indus University,Information technology,36.0,17.8,10.8,53.8,46.8
GSEB,69.3,"JEE, GUJCET",86.0,75.0,Charuset,Information technology,41.58,30.0,34.4,71.58,75.97999999999999
CBSE,81.0,JEE,86.0,,Indus University,Computer science and engineering,48.6,,34.4,,83.0
GSEB,80.0,"JEE, GUJCET",,67.0,Indus University,Computer engineering,48.0,26.8,,74.8,
CBSE,93.8,JEE,143.0,62.5,Sardar Vallabhbhai National Institute of Technology,Electrical engineering,56.27999999999999,25.0,57.2,81.28,113.48
GSEB,71.0,GUJCET,,34.0,LJ Institute of engineering and technology,Electrical engineering,42.6,13.6,,56.2,
